2022PN880069,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2022-10-15 10:40,WATER,VERTICAL INTEGRATED,2.5,,,,,,1.07,,0.041,,
2022PN880070,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 5 OF 10,AL07DD0007,57.31373,-111.67183,2022-10-15 10:50,WATER,VERTICAL INTEGRATED,2.3,,,,,,1.01,,0.044,,
2022PN880071,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-01-24 14:00,WATER,VERTICAL INTEGRATED,3.52,,,,,,0.48,,0.023,,
2022PN880072,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2023-01-24 11:25,WATER,VERTICAL INTEGRATED,1.37,,,,,,0.46,,0.025,,
2022PN880073,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-01-24 11:40,WATER,VERTICAL INTEGRATED,0.81,,,,,,0.48,,0.023,,
2022PN880074,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-01-24 12:20,WATER,VERTICAL INTEGRATED,1.25,,,,,,0.65,,0.029,,
2022PN880075,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-01-26 11:45,WATER,VERTICAL INTEGRATED,2.03,,,,,,0.61,,0.027,,
2022PN880076,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-01-26 12:00,WATER,VERTICAL INTEGRATED,2.66,,,,,,0.61,,0.024,,
2022PN880077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2023-02-20 11:10,WATER,VERTICAL INTEGRATED,1.2,,,,,,0.79,,0.025,,
2022PN880078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-02-20 11:20,WATER,VERTICAL INTEGRATED,0.74,,,,,,0.58,,0.024,,
2022PN880079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-02-20 11:35,WATER,VERTICAL INTEGRATED,1.32,,,,,,0.66,,0.027,,
2022PN880080,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-02-22 12:50,WATER,VERTICAL INTEGRATED,2.07,,,,,,0.66,,0.027,,
2022PN880081,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-02-22 13:00,WATER,VERTICAL INTEGRATED,2.54,,,,,,0.65,,0.025,,
2022PN880082,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-02-20 14:10,WATER,TRIPLICATE SAMPLE,3.5,,,,,,0.6,,0.023,,
2022PN880083,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-02-20 14:15,WATER,TRIPLICATE SAMPLE,3.5,,,,,,0.93,,0.022,,
2022PN880084,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-02-20 14:20,WATER,TRIPLICATE SAMPLE,3.5,,,,,,0.56,,0.022,,
2023PN880001,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 5 OF 10,AL07DD0002,56.71952778,-111.4044722,2023-05-24 12:35,WATER,VERTICAL INTEGRATED,2.7,,,,,,5.44,,0.18,,
2023PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-05-24 10:35,WATER,VERTICAL INTEGRATED,2.1,,,,,,5.27,,0.184,,
2023PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-05-24 10:50,WATER,VERTICAL INTEGRATED,2,,,,,,5.3,,0.168,,
2023PN880004,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-05-24 11:10,WATER,VERTICAL INTEGRATED,3.1,,,,,,3.42,,0.118,,
2023PN880005,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-05-25 12:15,WATER,VERTICAL INTEGRATED,3.8,,,,,,3.96,,0.152,,
2023PN880006,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-05-25 12:05,WATER,VERTICAL INTEGRATED,4,,,,,,3.88,,0.148,,
2023PN880007,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-05-25 11:45,WATER,VERTICAL INTEGRATED,1.3,,,,,,3.44,,0.124,,
2023PN880008,OIL SANDS LONGTERM WQ MONITORING,M2 LT WQ PANEL 6 OF 10,AL07DD0002,56.71922222,-111.4041667,2023-06-06 13:50,WATER,VERTICAL INTEGRATED,2.4,,,,,,3.07,,0.115,,
2023PN880009,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-06-06 11:30,WATER,VERTICAL INTEGRATED,2.1,,,,,,3.63,,0.123,,
2023PN880010,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-06-06 11:50,WATER,VERTICAL INTEGRATED,1.3,,,,,,4.65,,0.116,,
2023PN880011,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-06-06 12:10,WATER,VERTICAL INTEGRATED,2.9,,,,,,9.63,,0.162,,
2023PN880012,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-06-07 12:40,WATER,VERTICAL INTEGRATED,3.7,,,,,,4.69,,0.156,,
2023PN880013,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-06-07 12:10,WATER,VERTICAL INTEGRATED,4.1,,,,,,5.7,,0.145,,
2023PN880014,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-06-07 11:40,WATER,VERTICAL INTEGRATED,1.1,,,,,,5.58,,0.135,,
2023PN880015,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-06-20 14:15,WATER,VERTICAL INTEGRATED,3,,,,,,6.38,,0.186,,
2023PN880016,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-06-20 11:00,WATER,VERTICAL INTEGRATED,3.1,,,,,,12.06,,0.236,,
2023PN880017,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-06-20 11:20,WATER,VERTICAL INTEGRATED,2,,,,,,8.79,,0.228,,
2023PN880018,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-06-20 11:45,WATER,VERTICAL INTEGRATED,3.4,,,,,,8.29,,0.342,,
2023PN880019,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-06-21 12:40,WATER,VERTICAL INTEGRATED,4.8,,,,,,9.83,,0.378,,
2023PN880020,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-06-21 12:20,WATER,VERTICAL INTEGRATED,4.9,,,,,,8.26,,0.297,,
2023PN880021,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2023-06-21 12:05,WATER,VERTICAL INTEGRATED,2.2,,,,,,8.19,,0.29,,
2023PN880022,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-07-04 17:10,WATER,VERTICAL INTEGRATED,4.7,,,,,,7.5,,0.278,,
2023PN880023,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-07-04 12:40,WATER,VERTICAL INTEGRATED,3.9,,,,,,11.12,,0.262,,
2023PN880024,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-07-04 13:10,WATER,VERTICAL INTEGRATED,3.6,,,,,,9.71,,0.316,,
2023PN880025,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-07-04 14:10,WATER,VERTICAL INTEGRATED,4.7,,,,,,6.32,,0.272,,
2023PN880026,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-07-06 13:05,WATER,VERTICAL INTEGRATED,6,,,,,,7.4,,0.296,,
2023PN880027,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-07-06 13:55,WATER,VERTICAL INTEGRATED,3.2,,,,,,8.51,,0.302,,
2023PN880028,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-07-06 13:25,WATER,VERTICAL INTEGRATED,2.6,,,,,,6.94,,0.303,,
2023PN880029,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-07-18 15:35,WATER,VERTICAL INTEGRATED,3,,,,,,4.75,,0.191,,
2023PN880030,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-07-18 11:40,WATER,VERTICAL INTEGRATED,2.7,,,,,,4.85,,0.162,,
2023PN880031,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-07-18 12:00,WATER,VERTICAL INTEGRATED,2.3,,,,,,4.49,,0.137,,
2023PN880032,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-07-18 12:30,WATER,VERTICAL INTEGRATED,3.4,,,,,,3.86,,0.162,,
2023PN880033,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-07-19 13:50,WATER,VERTICAL INTEGRATED,6.1,,,,,,4.55,,0.152,,
2023PN880034,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-07-19 13:30,WATER,VERTICAL INTEGRATED,1.8,,,,,,4.57,,0.141,,
2023PN880035,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-07-19 13:05,WATER,VERTICAL INTEGRATED,1.3,,,,,,3.82,,0.139,,
2023PN880036,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-08-02 13:30,WATER,VERTICAL INTEGRATED,3.3,,,,,,16.81,,0.372,,
2023PN880037,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-08-02 11:15,WATER,VERTICAL INTEGRATED,3.2,,,,,,11.89,,0.442,,
2023PN880038,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-08-02 11:35,WATER,VERTICAL INTEGRATED,2.6,,,,,,14.2,,0.423,,
2023PN880039,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-08-02 12:00,WATER,VERTICAL INTEGRATED,3.9,,,,,,7.58,,0.327,,
2023PN880040,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-08-01 13:50,WATER,VERTICAL INTEGRATED,7.1,,,,,,11.1,,0.268,,
2023PN880041,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-08-01 13:40,WATER,VERTICAL INTEGRATED,3,,,,,,12.1,,0.293,,
2023PN880042,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-08-01 13:25,WATER,VERTICAL INTEGRATED,2.4,,,,,,4.22,,0.26,,
2023PN880043,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-08-15 13:10,WATER,VERTICAL INTEGRATED,3.5,,,,,,9.68,,0.304,,
2023PN880044,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-08-15 10:35,WATER,VERTICAL INTEGRATED,3,,,,,,9.37,,0.292,,
2023PN880045,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-08-15 10:55,WATER,VERTICAL INTEGRATED,2.2,,,,,,8.92,,0.289,,
2023PN880046,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-08-15 11:15,WATER,VERTICAL INTEGRATED,3.6,,,,,,5.63,,0.215,,
2023PN880047,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-08-16 13:00,WATER,VERTICAL INTEGRATED,6.7,,,,,,7.43,,0.278,,
2023PN880048,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-08-16 12:50,WATER,VERTICAL INTEGRATED,2.6,,,,,,8.03,,0.262,,
2023PN880049,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-08-16 12:35,WATER,VERTICAL INTEGRATED,1.7,,,,,,6.82,,0.26,,
2023PN880050,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-09-12 14:15,WATER,TRIPLICATE SAMPLE,3.2,,,,,,2.8,,0.094,,
2023PN880051,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-09-12 14:20,WATER,TRIPLICATE SAMPLE,3.2,,,,,,2.82,,0.095,,
2023PN880052,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-09-12 14:25,WATER,TRIPLICATE SAMPLE,3.2,,,,,,2.67,,0.093,,
2023PN880055,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-09-12 10:55,WATER,VERTICAL INTEGRATED,2.1,,,,,,2.61,,0.096,,
2023PN880056,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-09-12 11:20,WATER,VERTICAL INTEGRATED,0.9,,,,,,2.73,,0.099,,
2023PN880057,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-09-12 11:35,WATER,VERTICAL INTEGRATED,2.7,,,,,,1.98,,0.077,,
2023PN880058,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-09-13 11:50,WATER,VERTICAL INTEGRATED,5.8,,,,,,2.73,,0.094,,
2023PN880059,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-09-13 11:35,WATER,VERTICAL INTEGRATED,1.9,,,,,,2.45,,0.087,,
2023PN880060,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2023-09-13 11:15,WATER,VERTICAL INTEGRATED,0.8,,,,,,2.36,,0.084,,
2023PN880061,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2023-10-16 15:00,WATER,VERTICAL INTEGRATED,3.1,,,,,,0.79,,0.05,,
2023PN880062,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 2 OF 10,AL07DD0008,56.83851,-111.41779,2023-10-16 11:30,WATER,VERTICAL INTEGRATED,1.3,,,,,,0.75,,0.037,,
2023PN880063,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2023-10-16 11:55,WATER,VERTICAL INTEGRATED,1.1,,,,,,0.8,,0.038,,
2023PN880064,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2023-10-16 12:15,WATER,VERTICAL INTEGRATED,2.1,,,,,,0.96,,0.046,,
2023PN880065,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2023-10-15 12:00,WATER,VERTICAL INTEGRATED,1.7,,,,,,1.06,,0.045,,
2023PN880066,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-10-15 12:45,WATER,TRIPLICATE SAMPLE,5.3,,,,,,1.12,,0.046,,
2023PN880067,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-10-15 12:50,WATER,TRIPLICATE SAMPLE,5.3,,,,,,1.14,,0.045,,
2023PN880068,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2023-10-15 12:55,WATER,TRIPLICATE SAMPLE,5.3,,,,,,1.12,,0.045,,
2023PN880071,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-01-16 15:30,WATER,VERTICAL INTEGRATED,0.65,,,,,,1,,0.027,,
2023PN880072,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2024-01-16 12:30,WATER,VERTICAL INTEGRATED,1.1,,,,,,0.74,,0.024,,
2023PN880073,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2024-01-16 12:50,WATER,VERTICAL INTEGRATED,1.45,,,,,,0.64,,0.056,,
2023PN880074,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-01-16 13:50,WATER,VERTICAL INTEGRATED,1.65,,,,,,0.78,,0.025,,
2023PN880075,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2024-01-17 12:45,WATER,VERTICAL INTEGRATED,6.4,,,,,,0.68,,0.025,,
2023PN880076,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2024-01-17 13:30,WATER,VERTICAL INTEGRATED,1.07,,,,,,0.8,,0.041,,
2023PN880077,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-02-13 16:40,WATER,VERTICAL INTEGRATED,0.34,,,,,,1.17,,0.051,,
2023PN880078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2024-02-13 12:05,WATER,VERTICAL INTEGRATED,1.5,,,,,,0.62,,0.03,,
2023PN880079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2024-02-13 12:30,WATER,VERTICAL INTEGRATED,1.84,,,,,,0.68,,0.033,,
2023PN880080,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-02-13 12:50,WATER,TRIPLICATE SAMPLE,1.45,,,,,,0.81,,0.039,,
2023PN880081,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-02-13 12:55,WATER,TRIPLICATE SAMPLE,1.45,,,,,,0.83,,0.036,,
2023PN880082,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-02-13 13:00,WATER,TRIPLICATE SAMPLE,1.45,,,,,,0.76,,0.034,,
2023PN880085,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2024-02-14 12:40,WATER,VERTICAL INTEGRATED,6.6,,,,,,0.67,,0.03,,
2023PN880086,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2024-02-14 13:00,WATER,VERTICAL INTEGRATED,1,,,,,,0.69,,0.03,,
2023PN880087,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-03-12 15:40,WATER,VERTICAL INTEGRATED,0.51,,,,,,0.74,,0.025,,
2023PN880088,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2024-03-12 11:55,WATER,VERTICAL INTEGRATED,1.28,,,,,,0.55,,0.034,,
2023PN880089,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 3 OF 10,AL07DD0008,56.83849,-111.41702,2024-03-12 12:25,WATER,VERTICAL INTEGRATED,2.17,,,,,,0.59,,0.029,,
2023PN880090,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-03-12 13:00,WATER,VERTICAL INTEGRATED,0,,,,,,0.76,,0.027,,
2023PN880091,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2024-03-13 12:20,WATER,VERTICAL INTEGRATED,6.1,,,,,,0.59,,0.036,,
2023PN880092,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2024-03-13 12:50,WATER,VERTICAL INTEGRATED,0.77,,,,,,0.59,,0.022,,
2024PN880001,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-05-24 14:40,WATER,VERTICAL INTEGRATED,3.6,,,,,,6.19,,0.223,,
2024PN880002,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2024-05-24 11:40,WATER,VERTICAL INTEGRATED,2.1,,,,,,6.06,,0.24,,
2024PN880003,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2024-05-24 12:10,WATER,VERTICAL INTEGRATED,1.6,,,,,,6.41,,0.23,,
2024PN880004,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-05-24 12:37,WATER,VERTICAL INTEGRATED,2.6,,,,,,5.34,,0.156,,
2024PN880005,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2024-05-25 13:25,WATER,VERTICAL INTEGRATED,5.9,,,,,,4.69,,0.185,,
2024PN880006,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2024-05-25 12:45,WATER,VERTICAL INTEGRATED,2.8,,,,,,6.89,,0.174,,
2024PN880007,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2024-05-25 12:15,WATER,VERTICAL INTEGRATED,1.5,,,,,,4.83,,0.172,,
2024PN880008,OIL SANDS LONGTERM WQ MONITORING,M0 319,M0 319,54.73049,-113.31336,2024-05-22 12:40,WATER,VERTICAL INTEGRATED,2.5,,,,,,4.17,,0.192,,
2024PN880009,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-06-04 12:50,WATER,VERTICAL INTEGRATED,3,,,,,,5.48,,0.277,,
2024PN880010,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2024-06-04 9:10,WATER,VERTICAL INTEGRATED,2.1,,,,,,5.71,,0.274,,
2024PN880011,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 5 OF 10,AL07DD0008,56.8388,-111.41548,2024-06-04 9:35,WATER,VERTICAL INTEGRATED,1.5,,,,,,5.77,,0.276,,
2024PN880012,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2024-06-04 9:55,WATER,VERTICAL INTEGRATED,2.6,,,,,,3.39,,0.157,,
2024PN880013,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2024-06-05 13:45,WATER,VERTICAL INTEGRATED,8.1,,,,,,4.16,,0.21,,
2024PN880014,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 4 OF 10,AL07DD0007,57.31365,-111.67278,2024-06-05 13:25,WATER,VERTICAL INTEGRATED,2.7,,,,,,4.51,,0.202,,
2024PN880015,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2024-06-05 13:05,WATER,VERTICAL INTEGRATED,1.6,,,,,,3.67,,0.158,,
2024PN880016,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2024-06-17 15:00,WATER,VERTICAL INTEGRATED,3.7,,,,,,5.73,,0.313,,
