2019PN880053,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-08-13 10:50,WATER,VERTICAL INTEGRATED,3.6,,0.001,,16.07,,0.751,,0.105,,,,,,,,0.012,,13.5,,2.57,,0.013,,0.259,,,,0.492,,0.13,,0.0246,,90,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880054,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-08-14 11:20,WATER,VERTICAL INTEGRATED,4.7,,0.001,,16.71,,1.22,,0.122,,,,,,,,0.012,,13.2,,3.51,,0.035,,0.339,,,,0.881,,0.145,,0.023,,147,,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880055,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-08-14 10:45,WATER,VERTICAL INTEGRATED,5.6,,0.001,,18.4,,0.878,,0.113,,,,,,,,0.012,,15.4,,3,,0.021,,0.301,,,,0.577,,0.139,,0.0262,,128,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880056,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-09-10 14:05,WATER,VERTICAL INTEGRATED,2.8,,0,,9.99,,0.492,,0.05,,,,,,,,0.007,,8.65,,1.34,L,0.01,,0.12,,,,0.372,,0.059,,0.0085,,38,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880057,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-09-10 12:10,WATER,VERTICAL INTEGRATED,1.2,,0,,11.84,,0.482,,0.049,,,,,,,,0.008,,10.7,,1.14,,0.068,,0.102,,,,0.38,,0.0592,,0.0102,,31,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880058,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-09-10 11:40,WATER,VERTICAL INTEGRATED,2.5,,0,,9.98,,0.376,,0.067,,,,,,,,0.006,,8.68,,1.3,L,0.01,,0.125,,,,0.251,,0.0791,,0.0123,,35,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880059,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-09-10 11:25,WATER,VERTICAL INTEGRATED,3.3,,0,,17.35,,0.566,,0.1,,,,,,,,0.01,,15.2,,2.15,,0.025,,0.138,,,,0.428,,0.123,,0.0227,,74,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880060,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-09-10 11:05,WATER,VERTICAL INTEGRATED,3.3,,0,,17.98,,0.453,,0.096,,,,,,,,0.011,,16,,1.98,,0.034,,0.133,,,,0.32,,0.123,,0.0274,,79,,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880061,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-09-11 12:05,WATER,VERTICAL INTEGRATED,3.9,,0,,16.21,,0.519,,0.072,,,,,,,,0.01,,14.4,,1.81,L,0.01,,0.14,,,,0.379,,0.0882,,0.016,,57,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880062,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-09-11 11:30,WATER,VERTICAL INTEGRATED,4.8,,0,,14.65,,0.531,,0.065,,,,,,,,0.008,,13,,1.65,L,0.01,,0.166,,,,0.365,,0.0831,,0.0181,,44,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880063,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2019-10-08 15:10,WATER,VERTICAL INTEGRATED,2.6,,0,,9.21,,0.363,,0.034,,,,,,,,0.006,,8.19,,1.02,L,0.01,,0.112,,,,0.251,,0.0438,,0.0099,,14,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880064,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2019-10-09 12:15,WATER,VERTICAL INTEGRATED,3.4,,0,,11.87,,0.444,,0.05,,,,,,,,0.01,,10.5,,1.37,L,0.01,,0.119,,,,0.325,,0.0613,,0.0118,,23,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880065,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2019-10-09 12:00,WATER,VERTICAL INTEGRATED,4.3,,0,,10.29,,0.408,,0.041,,,,,,,,0.015,,9.16,,1.13,L,0.01,,0.124,,,,0.284,,0.0537,,0.0126,,22,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880066,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2019-10-08 13:10,WATER,VERTICAL INTEGRATED,1.1,,0,,10.57,,0.493,,0.033,,,,,,,,0.01,,9.59,,0.98,,0.126,,0.121,,,,0.372,,0.0432,,0.0104,,13,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880067,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 4 OF 10,AL07DD0008,56.83861,-111.41628,2019-10-08 13:20,WATER,VERTICAL INTEGRATED,2.1,,0,,10.079,,0.378,,0.035,,,,,,,,0.012,,9.1,,0.979,L,0.01,,0.124,,,,0.254,,0.0436,,0.009,,15,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880068,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2019-10-08 10:50,WATER,VERTICAL INTEGRATED,2.6,,0,,11.7,,0.472,,0.06,,,,,,,,0.013,,10.3,,1.4,,0.015,,0.129,,,,0.343,,0.0838,,0.0241,,30,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880069,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:30,WATER,TRIPLICATE SAMPLE,2.7,,0,,12.56,,0.436,,0.051,,,,,,,,0.008,,11.4,,1.16,,0.012,,0.124,,,,0.312,,0.0706,,0.0194,,25,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880070,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:35,WATER,TRIPLICATE SAMPLE,2.7,,PM,,12.44,,0.44,,0.046,,,,,,,,0.008,,11.4,,1.04,,0.012,,0.119,,,,0.321,,0.0659,,0.0196,,24,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880071,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2019-10-08 11:40,WATER,TRIPLICATE SAMPLE,2.7,,PM,,12.6,,0.432,,0.051,,,,,,,,0.009,,11.4,,1.2,L,0.01,,0.127,,,,0.305,,0.0689,,0.0177,,25,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880076,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-01-12 14:45,WATER,VERTICAL INTEGRATED,1.95,,0.001,,9.873,,0.544,,0.02,,,,,,,,0.062,,9.28,,0.593,,0.15,,0.073,,,,0.471,,0.0373,,0.0176,,6,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880077,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-01-13 12:10,WATER,VERTICAL INTEGRATED,0.45,,0.001,,9.602,,0.764,,0.032,,,,,,,,0.07,,8.96,,0.642,,0.374,,0.077,,,,0.687,,0.0491,,0.0167,,16,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880078,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-01-13 12:35,WATER,VERTICAL INTEGRATED,2.62,,0,,10.62,,0.65,,0.119,,,,,,,,0.073,,8.3,,2.32,,0.145,,0.197,,,,0.453,,0.138,,0.0192,,77,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880079,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-01-13 12:55,WATER,VERTICAL INTEGRATED,2.51,,0,,8.186,,0.531,,0.019,,,,,,,,0.079,,7.97,,0.216,,0.144,,0.018,,,,0.513,,0.0393,,0.0204,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880080,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-01-14 12:10,WATER,VERTICAL INTEGRATED,2.9,,0.001,,9.322,,0.514,,0.016,,,,,,,,0.065,,9.15,,0.172,,0.18,,0.016,,,,0.498,,0.0354,,0.0191,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880081,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-01-14 12:30,WATER,VERTICAL INTEGRATED,1.77,,0.001,,9.249,,0.504,,0.007,,,,,,,,0.067,,9.03,,0.219,,0.162,,0.022,,,,0.482,,0.0317,,0.0244,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880082,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-02-11 15:10,WATER,VERTICAL INTEGRATED,1.26,,0,,8.257,,0.495,,0.016,,,,,,,,0.026,,7.83,,0.427,,0.212,,0.037,,,,0.458,,0.0369,,0.0209,,7,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880083,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-02-11 10:55,WATER,VERTICAL INTEGRATED,0.13,,0,,8.053,,0.704,,0.004,,,,,,,,0.03,,7.87,,0.183,,0.435,L,0.01,,,,0.699,,0.0274,,0.0232,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880084,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-02-11 11:30,WATER,VERTICAL INTEGRATED,2.13,,0,,7.426,,0.47,,0.015,,,,,,,,0.051,,7.17,,0.256,,0.194,L,0.01,,,,0.465,,0.0384,,0.0231,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880085,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-02-11 11:15,WATER,VERTICAL INTEGRATED,2.18,,0,,7.377,,0.487,,0.008,,,,,,,,0.063,,6.92,,0.457,,0.185,,0.012,,,,0.475,,0.0432,,0.0355,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880086,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-02-12 12:45,WATER,VERTICAL INTEGRATED,1.7,,0,,7.97,,0.497,,0.005,,,,,,,,0.039,,7.63,,0.34,,0.211,,0.011,,,,0.486,,0.0319,,0.0265,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880087,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:00,WATER,TRIPLICATE SAMPLE,2.61,,0,,8.127,,0.508,,0.013,,,,,,,,0.039,,7.92,,0.207,,0.235,L,0.01,,,,0.503,,0.0375,,0.0246,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880088,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:05,WATER,TRIPLICATE SAMPLE,2.61,,PM,,8.11,,0.501,,0.011,,,,,,,,0.039,,7.89,,0.22,,0.232,L,0.01,,,,0.496,,0.031,,0.0199,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880089,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-02-12 12:10,WATER,TRIPLICATE SAMPLE,2.61,,PM,,8.078,,0.504,,0.01,,,,,,,,0.038,,7.88,,0.198,,0.233,L,0.01,,,,0.499,,0.0297,,0.0198,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880094,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-03-10 15:15,WATER,VERTICAL INTEGRATED,1.25,,0,,8.189,,0.469,,0.007,,,,,,,,0.013,,7.81,,0.379,,0.198,,0.023,,,,0.446,,0.031,,0.0238,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880095,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 1 OF 10,AL07DD0008,56.8383,-111.41835,2020-03-10 10:55,WATER,VERTICAL INTEGRATED,0.05,,0,,7.688,,0.675,,0.008,,,,,,,,0.013,,7.56,,0.128,,0.431,L,0.01,,,,0.67,,0.029,,0.0208,L,1,L,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880096,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 9 OF 10,AL07DD0008,56.83991,-111.41234,2020-03-10 11:35,WATER,VERTICAL INTEGRATED,2.13,,0,,7.153,,0.462,,0.016,,,,,,,,0.033,,6.88,,0.273,,0.198,,0.026,,,,0.436,,0.0443,,0.0281,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880097,OIL SANDS LONGTERM WQ MONITORING,M3 LT WQ PANEL 10 OF 10,AL07DD0008,56.83878,-111.41164,2020-03-10 11:20,WATER,VERTICAL INTEGRATED,1.87,,0,,6.667,,0.449,,0.021,,,,,,,,0.044,,6.32,,0.347,,0.194,,0.025,,,,0.424,,0.0483,,0.0272,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880098,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 1 OF 10,AL07DD0007,57.31332,-111.67533,2020-03-11 11:30,WATER,VERTICAL INTEGRATED,2.2,,0.021,,7.849,,0.485,,0.011,,,,,,,,0.021,,7.65,,0.199,,0.236,,0.02,,,,0.465,,0.0331,,0.0221,L,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019PN880099,OIL SANDS LONGTERM WQ MONITORING,M7 LTWQ PANEL 10 OF 10,AL07DD0007,57.31395,-111.66737,2020-03-11 11:50,WATER,VERTICAL INTEGRATED,1.8,,0,,7.597,,0.472,,0.013,,,,,,,,0.024,,7.4,,0.197,,0.213,,0.022,,,,0.45,,0.0342,,0.0214,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020PN880001,OIL SANDS LONGTERM WQ MONITORING,ATHABASCA RIVER M2 ABOVE HORSE RIVER,AL07DD0002,56.71952778,-111.4044722,2020-09-23 9:55,WATER,VERTICAL INTEGRATED,3.9,,,,,,,,,,14.5,L,5,,0.408,,0.006,,,,1.06,,,,0.138,,,,,,0.0459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
